round_number,rank,team_name,rounds_played,rounds_won,rounds_drawn,rounds_lost,matches_played,matches_won,matches_lost,matches_won_percent,points
28,12,Team 010,28,6,1,21,448,149,299,33.26,13
28,13,Team 009,28,5,1,22,441,145,296,32.88,11
28,14,Team 016,28,3,3,22,448,120,328,26.79,9
28,15,Team 002,28,3,2,23,434,132,302,30.42,8
28,16,Team 013,28,4,0,24,448,129,319,28.8,8
29,1,Team 001,29,29,0,0,464,402,62,86.64,58
29,2,Team 012,29,20,3,6,464,277,187,59.7,43
29,3,Team 008,29,19,4,6,464,263,201,56.69,42
29,4,Team 003,29,19,3,7,464,296,168,63.8,41
29,5,Team 011,29,18,5,6,464,279,185,60.13,41
29,6,Team 004,29,19,1,9,464,299,165,64.44,39
29,7,Team 007,29,18,0,11,464,251,213,54.1,36
29,8,Team 014,29,14,5,10,457,242,215,52.96,33
29,9,Team 005,29,13,4,12,464,252,212,54.32,30
29,10,Team 006,29,14,1,14,464,218,246,46.99,29
29,11,Team 015,29,9,3,17,464,217,247,46.77,21
29,12,Team 010,29,6,1,22,464,149,315,32.12,13
29,13,Team 016,29,4,3,22,464,136,328,29.32,11
29,14,Team 009,29,5,1,23,457,145,312,31.73,11
29,15,Team 002,29,3,2,24,450,137,313,30.45,8
29,16,Team 013,29,4,0,25,464,135,329,29.1,8
30,1,Team 001,30,30,0,0,480,417,63,86.88,60
30,2,Team 012,30,21,3,6,480,293,187,61.05,45
30,3,Team 003,30,20,3,7,480,309,171,64.38,43
30,4,Team 011,30,19,5,6,480,292,188,60.84,43
30,5,Team 008,30,19,4,7,480,264,216,55.0,42
30,6,Team 004,30,19,2,9,480,307,173,63.96,40
30,7,Team 007,30,18,0,12,480,254,226,52.92,36
30,8,Team 014,30,15,5,10,473,252,221,53.28,35
30,9,Team 005,30,13,5,12,480,260,220,54.17,31
30,10,Team 006,30,14,1,15,480,224,256,46.67,29
30,11,Team 015,30,9,3,18,480,220,260,45.84,21
30,12,Team 010,30,6,1,23,480,149,331,31.05,13
30,13,Team 016,30,5,3,22,480,146,334,30.42,13
30,14,Team 009,30,5,1,24,473,148,325,31.29,11
30,15,Team 013,30,5,0,25,480,148,332,30.84,10
30,16,Team 002,30,3,2,25,466,143,323,30.69,8
