index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
1834,Országos Vérellátó Szolgálat,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Főkönyvi könyvelő,normal,,,none,none
1835,ABT Tanácsadó Kft.,ats,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest",RECEPCIÓS - ASSZISZTENS,optimum,,,english,intermediate
1836,EcoFamily,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Üzleti raktáros,start_prem,,,none,none
1837,MVM Services Zrt.,karrierlink,"Bank, Insurance, Brokering",Project Manager,full time,5-10 years,"Pest_county,_Budapest",medior audit szakértő,pro_plus,,,none,none
1838,SOLARKIT Europe Kft.,website,Business Supporting Centres,Sales Support,full time,5-10 years,"Pest_county,_Budapest",Sales Support,optimum,,,english,intermediate
1839,IKEA LAKBERENDEZÉSI KFT.,karrierlink,"Building Industry, Real Estate",Building Maintanance,full time,not required,"Pest_county,_Budapest",Üzemeltetési munkatárs - Budapest (Soroksár),pro_plus,,,english,basic
1840,HumanField Vezető- és Specialistakiválasztó Kft.,website,Engineer,Electronic Control Engineer,full time,5-10 years,Pest_county,ERŐSÁRAMÚ VILLAMOSMÉRNÖK (3433),optimum,,,english,intermediate
1841,Építési és Közlekedési Minisztérium,website,"Building Industry, Real Estate",Technical Preparatory,full time,3-5 years,"Pest_county,_Budapest",Költségszakértő,optimum,,,english,intermediate
1842,Menton Jobs,ats,"Corporate Leadership, Management",Strategic Adviser,full time,3-5 years,Pest_county,Operatív vezető- Budapest,optimum,,,none,none
1843,OTP Bank Nyrt.,karrierlink,"Bank, Insurance, Brokering",Risk Manager,full time,1-3 years,Budapest,Működési kockázatkezelési szakértő,optimum,,,english,intermediate
1844,Alpen Pharma Kft.,website,"Marketing,  Media, PR",Brand and Product Manager,full time,3-5 years,"Pest_county,_Budapest",Product manager,optimum,,,english,higheradvanced
1845,BDPST Hotel Zrt.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Bár felszolgáló,optimum,,,english,intermediate
1846,Grafton Recruitment,website,"Finance, Accounting",Accounting,full time,starter,Pest_county,Projektmunka pénzügyeseknek - 4 hónapos megbízás nemzetközi környezetben,normal,,,english,higheradvanced
1847,TRAFIK VÁROS Bt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,Pest_county,Dohánybolti eladó (IX. kerületi üzleteinkbe),start_prem,521818.0,1294.833746898263,none,none
1848,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1849,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1850,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),karrierlink,"Manufacturing, Production",Supervisor,full time,not required,"Pest_county,_Budapest",Műszakvezető - Termelés,optimum,,,english,intermediate
1851,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),karrierlink,"Manufacturing, Production",Production Technician,full time,not required,"Pest_county,_Budapest",QC Analitika technikus,optimum,,,none,none
1852,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),karrierlink,"Manufacturing, Production",Production Technician,full time,not required,"Pest_county,_Budapest",Technikus - Coxiella üzem,optimum,,,none,none
1853,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),karrierlink,"Education, Science, Sports",Biologist,full time,3-5 years,"Pest_county,_Budapest","Scientist, Immunoanalytical Laboratory",optimum,,,english,higheradvanced
1854,Büntetés-Végrehajtás,website,"Administration, Assistance, Office Work",Tender Writing,full time,not required,Pest_county,Közbeszerzési referens,optimum,,,none,none
1855,CEVA-Phylaxia Oltóanyagtermelő Zrt. (Ceva Sante Animale),karrierlink,"Manufacturing, Production",Laboratory Technician,full time,not required,"Pest_county,_Budapest",QC Virológia technikus,optimum,,,none,none
1856,TATA Consultancy Services Hungary,website,Business Supporting Centres,IT Support,full time,not required,Pest_county,Italian Speaking Service Desk Analyst – Level 1,optimum,,,english,intermediate
1857,Úszó Pingvin Közhasznú Nonprofit Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,1-3 years,"Pest_county,_Budapest",Buszvezető,start_prem,,,none,none
1858,Spie Agis Fire & Security Kft.,website,"Client Services, Customer Services",Dispatcher,full time,1-3 years,"Pest_county,_Budapest",Szerviz diszpécser – gyengeáramú biztonságtechnikai rendszerek,optimum,,,english,intermediate
1859,Wallis British Motors Kft.,website,Skilled Labour,"Storekeeper, Other depository skilled work",full time,3-5 years,"Pest_county,_Budapest",Autóalkatrész raktáros (Jaguar Land Rover),start,,,english,basic
1860,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,karrierlink,"Finance, Accounting",Financial Analyst,full time,not required,Budapest,Operációs (back office) menedzser,optimum,,,none,none
1861,Power Life Team Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,1-3 years,"Pest_county,_Budapest",Szállító,start_prem,568181.0,1409.87841191067,none,none
1863,Bíró Gábor és Társa Bt.,website,"Finance, Accounting",Accounting,full time,3-5 years,"Pest_county,_Budapest",Könyvelő munkatárs,optimum,,,none,none
1864,Tech People Hungary Kft.,karrierlink,IT Development,System Manager,full time,5-10 years,"Pest_county,_Budapest",Rendszerszervező - projekt (NK),optimum,,,english,intermediate
1865,MIMIKO Kft.,website,Skilled Labour,Machine Repairer,full time,3-5 years,"Pest_county,_Budapest",Gépszerelő,start_prem,757575.0,1879.8387096774193,none,none
1866,ZÁDOR-HÚS Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Irodai asszisztens,optimum,,,none,none
1867,Wallis British Motors Kft.,website,"Transportation, Procurement, Logistics","Storage, Stockpiling",full time,3-5 years,"Pest_county,_Budapest",Raktárvezető (autóipar),normal,,,english,basic
1868,Porsche Inter Auto Hungaria Kft.,karrierlink,"Transportation, Procurement, Logistics",Logistics administrator,full time,1-3 years,"Pest_county,_Budapest",Diszponens,optimum,,,english,intermediate
1869,Central C.R. Kft.,website,Skilled Labour,"Waiter, Waitress, Barista",full time,1-3 years,"Pest_county,_Budapest",Éttermi felszolgáló,start_prem,,,none,none
1870,GVS Hungary Kft,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Kereskedelmi munkatárs,optimum,600000.0,1488.833746898263,english,intermediate
1871,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
1872,Profession Services,website,"Building Industry, Real Estate",Project Management,full time,1-3 years,Pest_county,Épületgépészeti Műszaki Előkészítő (Budapest III.),pro_plus,,,none,none
1873,Országos Atomenergia Hivatal,website,Engineer,Architect,full time,1-3 years,"Pest_county,_Budapest",Felügyelő (építőmérnök),optimum,,,english,intermediate
1874,VTS Hungary Kft.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,3-5 years,Pest_county,Logisztikus,optimum,,,english,basic
1876,HAM-BAU Kft.,website,"Building Industry, Real Estate",Project Management,full time,3-5 years,Pest_county,Épületvillamossági Projektmérnök (Villamosmérnök),optimum,1212121.0,3007.744416873449,english,intermediate
1877,Ringier Hungary Kft.,website,"Marketing,  Media, PR",Marketing,full time,3-5 years,"Pest_county,_Budapest",Marketing Menedzser,normal,,,english,intermediate
1878,NOVOOP Kft.,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,1-3 years,"Pest_county,_Budapest",Szobalány / szobai takarító,start_prem,,,none,none
1879,Prizma Work Kft.,website,"Catering, Hotel, Tourism","Public Catering, Operation",full time,1-3 years,"Pest_county,_Budapest",Élelmezésvezető-helyettes,optimum,,,none,none
1880,Nova Petrol Bt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Büfé Eladó,start,477272.0,1184.2977667493797,none,none
1881,OTP Bank Nyrt.,karrierlink,"Bank, Insurance, Brokering",Risk Manager,full time,3-5 years,Budapest,"Külföldi Miko-, és Kisvállalkozás (MKV) Kockázatkezelési Tanácsadó / Retail Risk Consultant",optimum,,,english,higheradvanced
1882,Patria Finance Magyarországi Fióktelepe,website,"Sales, Trade",Project Manager,full time,not required,"Pest_county,_Budapest",Digitális értékesítési és marketing Menedzser,optimum,,,english,higheradvanced
1883,K-MED Kft.,website,"Administration, Assistance, Office Work",Receptionist,full time,1-3 years,"Pest_county,_Budapest",Recepciós munkatárs,optimum,,,english,basic
1884,HMEI Zrt.,karrierlink,"Finance, Accounting",Accounting,full time,1-3 years,Budapest,Könyvelő,optimum,,,none,none
1885,Országos Atomenergia Hivatal,website,Engineer,Architect,full time,1-3 years,"Pest_county,_Budapest",Felügyelő (pályakezdő építőmérnök),optimum,,,english,intermediate
1886,PALATINUS 94' KFT.,karrierlink,Skilled Labour,"Storekeeper, Other depository skilled work",full time,1-3 years,"Pest_county,_Budapest",Raktáros - Karbantartó,start_prem,,,none,none
1887,MP Solutions Kft.,karrierlink,"Sales, Trade",Online Sales,full time,3-5 years,"Pest_county,_Budapest",Online sales szakértő,normal,,,english,higheradvanced
1888,Vantage Towers Zártkörűen Működő Részvénytársaság,website,"Finance, Accounting",Accounting,full time,3-5 years,Pest_county,Billing Expert Financial Accounting,optimum,,,english,higheradvanced
1889,F Automobil Import Kft.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Logisztikai munkatárs,optimum,,,english,intermediate
1890,UNIX AUTÓ KFT.,karrierlink,Engineer,Electrical Engineer,full time,1-3 years,Budapest,Hardverfejlesztő mérnök / Villamosmérnök,optimum,,,none,none
